Country,Happiness Score,Happiness Rank,Country Code,Total Cellular Subscriptions,Total Broadband Subscriptions,% of Internet Users,Total Population,Cellular Subscriptions per Citizen,Broadband Subscriptions per Citizen
Niger,3.845,144,NER,8959000,27188,2.48,19896965,0.450269676807493,0.0013664395549773545
Cambodia,3.819,145,KHM,20850543,83504,22.33,15517635,1.343667575632498,0.005381232384960724
Tanzania,3.781,146,TZA,39665600,106000,10.0,53879957,0.736184700370121,0.001967336388186056
Madagascar,3.681,147,MDG,10693765,23694,4.17,24234088,0.44126954560864845,0.000977713706412224
Central African Republic,3.678,148,CAF,1242494,900,3.8,4546100,0.27330986999846024,0.00019797188799190515
Chad,3.667,149,TCD,5465797,11337,3.5,14009413,0.390151750112585,0.0008092416149056352
Guinea,3.656,150,GIN,10764000,1000,8.2,12091533,0.8902097029384115,8.270249934396243e-05
Ivory Coast,3.655,151,CIV,25407610,109707,38.44,23108472,1.0994932940611564,0.004747479625654176
Burkina Faso,3.587,152,BFA,14446897,7210,11.39,18110624,0.7977028842297207,0.00039810886692805283
Afghanistan,3.575,153,AFG,19709038,7067,8.26,33736494,0.5842052822679203,0.0002094764204010055
Rwanda,3.465,154,RWA,8759619,21125,18.0,11629553,0.7532206095969467,0.0018164928609035963
Benin,3.34,155,BEN,9317955,73263,11.25,10575952,0.8810511810189758,0.006927319639877337
Syria,3.006,156,SYR,14312271,729261,29.98,18734987,0.7639327958967893,0.038925087057706524
Burundi,2.905,157,BDI,4997696,3639,4.87,10199270,0.4900052650826971,0.0003567902408701799
Togo,2.839,158,TGO,4855206,63108,7.12,7416802,0.6546225718308242,0.008508788558734614
