,Country,Region_x,Happiness Score,"GDP (Billions, PPP)",GDP per Capita (PPP),Unemployment (%),Income Tax Rate (%),Freedom from Corruption,Fiscal Freedom ,Government Spending,Tariff Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Government Expenditure % of GDP ,Population (Millions),GDP Growth Rate (%),5 Year GDP Growth Rate (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Property Rights
145,Sierra Leone,Sub-Saharan Africa,4.507,0.09,1.54,3.2,30.0,30.0,80.8,87.5,9.9,30.0,11.1,20.4,6.1,16.3,9.1,9.8,579.1,32.6,53.4,41.6,68.5,70.2,55.0,20.0,10.0
146,Singapore,Asia-Pacific,6.797999999999999,3.49,64.58,3.1,20.0,86.0,91.2,93.8,0.0,17.0,14.0,14.4,5.4,4.1,5.2,2.4,63772.3,103.8,96.9,96.9,83.7,90.0,85.0,80.0,90.0
147,Slovakia,Europe,5.995,1.33,24.61,14.0,25.0,47.0,80.8,55.1,1.0,22.0,28.5,38.7,5.4,0.9,1.0,1.5,591.0,54.9,69.6,56.5,75.5,88.0,80.0,70.0,50.0
148,Slovenia,Europe,5.848,0.57,27.9,10.6,50.0,57.0,58.1,0.0,1.0,17.0,37.4,59.4,2.1,-1.1,-2.0,1.6,-678.6,73.0,81.2,57.1,81.3,88.0,70.0,50.0,60.0
150,South Africa,Sub-Saharan Africa,4.6419999999999995,5.96,11.26,25.3,40.0,42.0,69.5,68.2,4.2,28.0,25.8,32.6,53.0,1.9,1.9,5.8,8187.9,45.2,73.0,61.6,74.9,76.6,50.0,60.0,50.0
151,Spain,Europe,6.329,13.91,29.85,26.7,52.0,59.0,53.1,39.8,1.0,30.0,32.9,44.8,46.6,-1.2,-1.4,1.5,39166.6,93.9,77.5,52.6,81.3,88.0,85.0,70.0,70.0
154,Suriname,South and Central America / Caribbean,6.269,0.07,13.12,12.4,38.0,36.0,69.3,73.8,11.9,36.0,18.3,29.5,0.5,4.7,4.4,1.9,112.8,29.2,42.2,81.9,77.2,66.2,30.0,30.0,35.0
155,Swaziland,Sub-Saharan Africa,4.867,0.07,6.22,22.9,33.0,39.0,76.4,68.6,7.0,27.5,22.7,32.4,1.1,2.8,1.4,5.6,67.0,18.8,60.5,69.3,73.9,76.0,55.0,40.0,40.0
156,Sweden,Europe,7.364,3.97,41.19,8.0,57.0,89.0,43.0,19.2,1.0,22.0,44.3,51.9,9.6,1.5,1.3,0.0,8149.5,41.4,87.9,54.0,85.5,88.0,90.0,80.0,90.0
157,Switzerland,Europe,7.587000000000001,3.72,46.43,4.4,40.0,85.0,70.3,65.1,0.0,24.0,28.2,34.1,8.0,2.0,1.2,-0.2,-5252.1,49.4,78.1,75.3,86.3,90.0,85.0,80.0,90.0
159,Taiwan,Asia-Pacific,6.297999999999999,9.29,39.77,4.1,40.0,61.0,80.4,87.1,1.8,17.0,8.7,20.7,23.4,2.1,3.3,0.8,3688.0,41.0,92.4,55.2,83.3,86.4,75.0,60.0,70.0
160,Tajikistan,Asia-Pacific,4.7860000000000005,0.19,2.35,10.8,13.0,22.0,92.1,81.9,5.2,15.0,19.9,24.6,8.1,7.4,6.5,5.0,107.8,29.2,65.4,46.4,69.6,74.6,25.0,30.0,20.0
161,Tanzania,Sub-Saharan Africa,3.781,0.79,1.72,3.5,30.0,33.0,79.9,79.3,11.5,30.0,14.4,26.3,46.3,7.0,6.7,7.9,1872.4,41.0,45.0,61.4,69.7,67.0,60.0,50.0,30.0
162,Thailand,Asia-Pacific,6.455,6.74,9.88,0.8,35.0,35.0,81.5,81.4,4.8,20.0,15.0,24.9,68.2,2.9,2.9,2.2,12945.6,45.3,72.5,63.5,69.9,75.4,45.0,60.0,40.0
164,Togo,Sub-Saharan Africa,2.839,0.07,1.08,8.5,45.0,29.0,69.7,78.1,11.1,27.0,16.5,27.0,6.8,5.6,4.8,2.0,84.2,43.3,51.9,43.4,80.4,67.8,50.0,30.0,30.0
166,Trinidad and Tobago,South and Central America / Caribbean,6.167999999999999,0.28,20.44,6.6,25.0,38.0,79.0,69.3,5.7,25.0,29.2,32.0,1.3,1.6,-0.8,5.2,1712.6,30.6,65.3,76.6,74.3,78.6,60.0,50.0,50.0
167,Tunisia,Middle East / North Africa,4.739,1.08,9.93,17.5,35.0,41.0,74.3,70.8,14.4,30.0,21.0,31.2,10.9,2.7,2.1,6.1,1095.6,44.4,81.2,69.1,74.8,61.2,35.0,30.0,40.0
168,Turkey,Europe,5.332000000000001,11.74,15.35,9.9,35.0,50.0,76.1,57.6,2.7,20.0,27.7,37.6,76.5,4.3,3.8,7.5,12866.0,35.8,61.0,50.2,72.4,84.6,75.0,60.0,45.0
169,Turkmenistan,Asia-Pacific,5.547999999999999,0.54,9.51,10.7,10.0,17.0,94.0,93.5,0.0,8.0,21.0,14.7,5.7,10.2,10.2,6.6,3061.0,20.6,30.0,20.0,64.2,80.0,0.0,10.0,5.0
170,Uganda,Sub-Saharan Africa,3.931,0.55,1.48,3.8,40.0,26.0,73.3,89.0,6.7,30.0,13.1,19.1,36.8,6.0,5.1,5.4,1145.9,33.9,43.3,87.5,76.3,76.6,60.0,40.0,25.0
171,Ukraine,Europe,4.681,3.37,7.42,7.9,17.0,25.0,78.7,28.0,2.1,18.0,38.9,49.0,45.4,0.1,-1.3,-0.3,3771.0,41.0,59.3,48.2,78.6,85.8,15.0,30.0,20.0
172,United Arab Emirates,Middle East / North Africa,6.901,2.72,30.12,3.8,0.0,69.0,99.5,85.8,3.8,0.0,7.2,21.8,9.0,4.8,1.9,1.1,10488.0,12.3,74.7,83.8,83.8,82.4,40.0,50.0,55.0
173,United Kingdom,Europe,6.867000000000001,23.91,37.31,7.5,45.0,76.0,62.9,30.3,1.0,21.0,35.2,48.2,64.1,1.8,-0.1,2.6,37100.9,90.1,91.1,75.6,74.4,88.0,90.0,80.0,90.0
174,United States,North America,7.119,168.0,53.1,7.5,39.6,73.0,66.2,51.8,1.5,35.0,24.3,40.1,316.4,1.9,1.2,1.5,187528.0,104.5,88.8,98.5,76.6,87.0,70.0,70.0,80.0
175,Uruguay,South and Central America / Caribbean,6.485,0.57,16.72,6.3,30.0,73.0,77.1,65.1,4.1,25.0,27.6,34.1,3.4,4.2,5.1,8.6,2796.1,59.4,72.6,64.3,71.6,81.8,80.0,30.0,70.0
176,Uzbekistan,Asia-Pacific,6.002999999999999,1.14,3.76,10.8,22.0,17.0,90.2,67.3,5.1,9.0,20.3,33.0,30.2,8.0,8.2,11.2,1077.0,8.6,73.1,64.2,63.5,69.8,0.0,10.0,15.0
178,Venezuela,South and Central America / Caribbean,6.81,4.08,13.61,7.6,34.0,20.0,75.0,52.0,8.6,34.0,13.6,40.0,30.0,1.0,1.2,40.7,7040.0,49.8,41.6,24.2,42.8,62.8,0.0,20.0,5.0
179,Vietnam,Asia-Pacific,5.36,3.6,4.01,1.9,35.0,31.0,79.1,77.1,5.7,22.0,19.6,27.6,89.7,5.4,5.7,6.6,8900.0,55.0,61.5,62.9,66.8,78.6,15.0,30.0,15.0
180,Yemen,Middle East / North Africa,4.077,0.62,2.32,17.2,20.0,18.0,91.5,59.9,6.2,20.0,7.0,36.6,26.7,4.4,0.9,11.1,-133.6,49.9,54.0,57.1,68.5,77.6,50.0,30.0,30.0
181,Zambia,Sub-Saharan Africa,5.129,0.26,1.75,13.2,35.0,38.0,71.9,78.0,4.1,35.0,19.1,27.1,14.5,6.0,6.8,7.0,1810.9,35.1,68.2,46.0,73.2,76.8,55.0,50.0,30.0
182,Zimbabwe,Sub-Saharan Africa,4.61,0.1,0.79,5.5,45.0,21.0,66.6,74.2,13.3,25.0,26.3,29.3,13.1,3.0,8.9,1.6,400.0,54.7,37.1,23.7,75.4,58.4,0.0,10.0,10.0
