,Country,Region_x,Happiness Score,"GDP (Billions, PPP)",GDP per Capita (PPP),Unemployment (%),Income Tax Rate (%),Freedom from Corruption,Fiscal Freedom ,Government Spending,Tariff Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Government Expenditure % of GDP ,Population (Millions),GDP Growth Rate (%),5 Year GDP Growth Rate (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Property Rights
30,Central African Republic,Sub-Saharan Africa,3.678,0.03,0.54,8.8,50.0,25.0,65.0,92.0,16.3,30.0,9.8,16.3,4.6,-36.0,-6.3,6.6,0.8,50.8,27.2,37.5,69.6,52.4,45.0,30.0,15.0
31,Chad,Sub-Saharan Africa,3.667,0.28,2.54,8.6,60.0,19.0,46.2,83.6,14.9,45.0,5.1,23.4,11.0,3.6,6.0,0.2,538.4,30.2,27.1,47.7,75.6,55.2,45.0,40.0,20.0
32,Chile,South and Central America / Caribbean,6.67,3.35,19.07,5.9,40.0,71.0,76.5,83.3,4.0,20.0,18.8,23.6,17.6,4.2,4.0,1.8,20258.2,12.2,69.3,67.0,85.6,82.0,90.0,70.0,90.0
33,China,Asia-Pacific,5.14,133.95,9.84,4.6,45.0,40.0,69.7,81.5,4.1,25.0,19.4,24.8,1360.8,7.7,8.9,2.6,123911.0,22.4,52.1,63.0,74.2,71.8,25.0,30.0,20.0
34,Colombia,South and Central America / Caribbean,6.477,5.28,11.19,10.5,33.0,36.0,80.3,76.0,4.4,25.0,16.1,28.3,47.2,4.3,4.1,2.0,16771.7,31.8,81.5,81.7,80.1,81.2,80.0,70.0,50.0
35,Comoros,Sub-Saharan Africa,3.9560000000000004,0.01,1.29,7.9,30.0,28.0,64.5,78.8,6.0,50.0,12.3,26.6,0.7,3.5,2.5,2.3,13.9,19.0,47.3,52.0,77.9,73.0,40.0,30.0,30.0
38,Costa Rica,South and Central America / Caribbean,7.226,0.62,12.94,7.7,25.0,53.0,80.0,89.9,3.1,30.0,21.9,18.3,4.8,3.5,3.4,5.2,2652.0,37.0,64.5,54.6,75.8,83.8,70.0,50.0,50.0
40,Croatia,Europe,5.7589999999999995,0.78,18.19,17.2,40.0,48.0,74.9,46.5,1.4,20.0,22.6,42.2,4.3,-1.0,-2.5,2.2,580.1,59.8,55.8,42.8,80.0,87.2,80.0,60.0,40.0
42,Cyprus,Europe,5.689,0.22,25.27,15.7,35.0,63.0,79.5,36.7,1.0,12.5,25.9,45.9,0.9,-6.0,-1.7,0.4,533.3,112.0,79.5,59.6,82.7,88.0,70.0,50.0,70.0
43,Czech Republic,Europe,6.505,2.86,27.2,7.0,15.0,48.0,81.5,40.6,1.0,19.0,35.5,44.5,10.5,-0.9,-0.5,1.4,4990.4,47.9,68.2,82.9,81.2,88.0,80.0,80.0,75.0
44,Denmark,Europe,7.527,2.12,37.9,7.1,56.0,91.0,39.6,1.8,1.0,24.5,48.0,57.2,5.6,0.4,-0.7,0.8,2083.2,45.2,97.4,92.1,87.6,88.0,90.0,80.0,95.0
47,Dominican Republic,South and Central America / Caribbean,4.885,1.03,9.91,15.0,25.0,29.0,84.1,87.1,6.1,28.0,13.5,20.7,10.4,4.1,4.7,4.8,1990.5,33.8,53.5,57.5,76.0,77.8,75.0,40.0,30.0
48,Ecuador,South and Central America / Caribbean,5.975,1.59,10.08,4.5,35.0,35.0,79.1,51.0,4.3,22.0,19.4,40.4,15.8,4.2,4.2,2.7,702.8,24.3,51.4,51.3,68.2,71.4,30.0,40.0,15.0
