Country Name,Region,Property Rights,Freedom from Corruption,Fiscal Freedom ,Government Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Government Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Cameroon,Sub-Saharan Africa,25,25,71.7,87.8,41.6,47.8,75.6,59.6,35,50,12.7,35,38.5,11,20.2,Cameroon,22,$53.30,4.6,3.7,"$2,423.00",4,2.1,572,18.6
Canada,North America,90,81,79.9,48.3,89,76.1,77.9,88.4,80,80,0.8,29,15,30.7,41.5,Canada,35.1,"$1,526.10",2,1.4,"$43,472.00",7.1,1,"62,324.7",89.1
Cabo Verde,Sub-Saharan Africa,75,58,78.3,67.9,61.8,42.1,81,69.6,70,60,10.2,35,25,18,32.7,Cape Verde,0.5,$2.20,0.5,1.1,"$4,338.00",8.6,1.5,18.7,95
Central African Republic,Sub-Saharan Africa,15,25,65,92,27.2,37.5,69.6,52.4,45,30,16.3,50,30,9.8,16.3,Central African Republic,4.6,$2.50,-36,-6.3,$542.00,8.8,6.6,0.8,50.8
Chad,Sub-Saharan Africa,20,19,46.2,83.6,27.1,47.7,75.6,55.2,45,40,14.9,60,45,5.1,23.4,Chad,11,$28.00,3.6,6,"$2,539.00",8.6,0.2,538.4,30.2
Chile,South and Central America / Caribbean,90,71,76.5,83.3,69.3,67,85.6,82,90,70,4,40,20,18.8,23.6,Chile,17.6,$334.80,4.2,4,"$19,067.00",5.9,1.8,"20,258.2",12.2
China,Asia-Pacific,20,40,69.7,81.5,52.1,63,74.2,71.8,25,30,4.1,45,25,19.4,24.8,China,1360.8,"$13,395.40",7.7,8.9,"$9,844.00",4.6,2.6,"123,911",22.4
Colombia,South and Central America / Caribbean,50,36,80.3,76,81.5,81.7,80.1,81.2,80,70,4.4,33,25,16.1,28.3,Colombia,47.2,$527.60,4.3,4.1,"$11,189.00",10.5,2,"16,771.7",31.8
Comoros,Sub-Saharan Africa,30,28,64.5,78.8,47.3,52,77.9,73,40,30,6,30,50,12.3,26.6,Comoros,0.7,$0.90,3.5,2.5,"$1,287.00",7.9,2.3,13.9,19
"Congo, Democratic Republic of the Congo",Sub-Saharan Africa,10,22,72.9,85.7,42.8,38.4,75.1,63,20,20,11,30,40,14.5,21.8,Democratic Republic of Congo,77,$49.90,8.5,6.5,$648.00,7.9,0.8,"2,098.2",21.6
"Congo, Republic of",Sub-Saharan Africa,10,22,67.4,60.7,36.8,36,71.6,62.4,30,30,11.3,45,34,8.7,36.2,Republic of Congo,4.2,$20.00,4.5,5.6,"$4,791.00",7.8,4.6,"2,038.3",30.8
Costa Rica,South and Central America / Caribbean,50,53,80,89.9,64.5,54.6,75.8,83.8,70,50,3.1,25,30,21.9,18.3,Costa Rica,4.8,$61.60,3.5,3.4,"$12,942.00",7.7,5.2,"2,652",37
Côte d'Ivoire,Sub-Saharan Africa,35,27,77.7,82.4,65.4,46,75,71.4,55,50,6.8,36,25,17.6,24.2,Côte d'Ivoire,24.1,$43.80,8.1,3.7,"$1,818.00",3.9,2.6,371,43.2
Croatia,Europe,40,48,74.9,46.5,55.8,42.8,80,87.2,80,60,1.4,40,20,22.6,42.2,Croatia,4.3,$77.90,-1,-2.5,"$18,191.00",17.2,2.2,580.1,59.8
Cuba,South and Central America / Caribbean,10,46,61.8,0,20,20,64.8,63.8,0,10,8.1,50,30,20.5,60.2,Cuba,N/A,N/A,N/A,N/A,N/A,3.2,N/A,N/A,N/A
Cyprus,Europe,70,63,79.5,36.7,79.5,59.6,82.7,88,70,50,1,35,12.5,25.9,45.9,Cyprus,0.9,$22.30,-6,-1.7,"$25,265.00",15.7,0.4,533.3,112
Czech Republic,Europe,75,48,81.5,40.6,68.2,82.9,81.2,88,80,80,1,15,19,35.5,44.5,Czech Republic,10.5,$286.00,-0.9,-0.5,"$27,200.00",7,1.4,"4,990.4",47.9
Denmark,Europe,95,91,39.6,1.8,97.4,92.1,87.6,88,90,80,1,56,24.5,48,57.2,Denmark,5.6,$211.90,0.4,-0.7,"$37,900.00",7.1,0.8,"2,083.2",45.2
Djibouti,Sub-Saharan Africa,25,36,81.2,57.1,55.4,66.6,78.9,54.8,70,50,17.6,30,25,18.9,37.8,Djibouti,0.9,$2.50,5,4.6,"$2,746.00",N/A,2.5,286,34.8
Dominica,South and Central America / Caribbean,60,58,73.6,61.5,71.6,68.7,89.5,72.8,75,30,8.6,35,30,22.6,35.8,Dominica,0.1,$1.00,0.8,0,"$14,283.00",N/A,-0.4,17.9,75
Dominican Republic,South and Central America / Caribbean,30,29,84.1,87.1,53.5,57.5,76,77.8,75,40,6.1,25,28,13.5,20.7,Dominican Republic,10.4,$103.20,4.1,4.7,"$9,911.00",15,4.8,"1,990.5",33.8
Ecuador,South and Central America / Caribbean,15,35,79.1,51,51.4,51.3,68.2,71.4,30,40,4.3,35,22,19.4,40.4,Ecuador,15.8,$159.00,4.2,4.2,"$10,080.00",4.5,2.7,702.8,24.3
Egypt,Middle East / North Africa,20,32,85.8,68,65.4,53.6,67.4,70,50,40,10,25,25,12.9,32.7,Egypt,84.2,$553.60,2.1,3.2,"$6,579.00",12.7,6.9,"5,553",89.2
El Salvador,South and Central America / Caribbean,35,38,79.4,85.5,53.3,53.3,82.5,85.2,75,70,2.4,30,30,16,22,El Salvador,6.3,$47.50,1.6,0.8,"$7,515.00",6.3,0.8,140.1,54.9
Equatorial Guinea,Sub-Saharan Africa,10,19,75.4,31.4,37.5,33.5,78.3,53.8,35,30,15.6,35,35,2.4,47.8,Equatorial Guinea,0.8,$17.70,-4.9,-1.3,"$23,370.00",9.1,3.2,"1,914",8.8
Eritrea,Sub-Saharan Africa,10,20,57,71.8,18.2,65.5,57.8,69.2,0,20,5.4,30,30,50,30.7,Eritrea,6.3,$4.50,1.3,4.6,$707.00,8.9,12.3,43.9,126
Estonia,Europe,90,68,80.6,53.2,81.5,58.7,77.6,88,90,80,1,21,21,32.5,39.5,Estonia,1.3,$29.80,0.8,0.2,"$23,144.00",8.5,3.5,949.8,11.3
Ethiopia,Sub-Saharan Africa,30,33,77.4,91.4,55.9,56.4,66.1,64.4,20,20,10.3,35,30,11.6,16.9,Ethiopia,88.9,$121.40,9.7,10.1,"$1,366.00",5.7,8,953,22.2
Fiji,Asia-Pacific,25,22.3,81.3,74.6,63.2,75.2,78.3,70.2,50,50,9.9,29,20,25,29.1,Fiji,0.9,$4.50,3,1.8,"$5,085.00",8,2.9,272.1,52.9
Finland,Europe,90,89,66.4,3.6,92.6,54.8,79.9,88,90,80,1,31.8,20,44.1,56.7,Finland,5.5,$194.20,-1.4,-1,"$35,617.00",8.1,2.2,"-1,064.8",57
France,Europe,80,71,47.5,2.5,80.2,43.5,77.5,83,70,70,1,45,34.3,45.3,57,France,63.7,"$2,278.00",0.3,0.2,"$35,784.00",10.5,1,"4,875.5",93.9
Gabon,Sub-Saharan Africa,40,34,77.5,74.6,57.9,64.3,78.4,61,55,40,14.5,35,30,11.2,29.1,Gabon,1.6,$30.40,5.9,4.4,"$19,478.00",19.2,0.5,856,22.9
Gambia,Sub-Saharan Africa,25,28,75.4,73.4,55.7,66.7,70.8,65,65,50,12.5,35,32,14.4,29.8,The Gambia,1.9,$3.70,6.3,4,"$1,962.00",8.6,5.2,25.3,82.1
Georgia,Europe,40,49,87.2,73.8,88.6,79.9,82.7,88.6,80,60,0.7,20,15,25.5,29.6,Georgia,4.5,$27.60,3.2,3.7,"$6,145.00",14.3,-0.5,"1,009.7",31.8
Germany,Europe,90,78,60.8,40.1,88.2,51.2,81.5,88,90,70,1,47.5,15.8,37.6,44.7,Germany,80.8,"$3,232.50",0.5,0.7,"$40,007.00",5.3,1.6,"26,720.8",78.1
Ghana,Sub-Saharan Africa,50,46,84.6,70.8,62.5,56.9,69.2,64.8,65,60,10.1,25,25,17.1,31.2,Ghana,25.6,$88.50,5.5,8,"$3,461.00",4.5,11.7,"3,226.3",60.1
Greece,Europe,40,40,64.2,0,73.3,51.6,77.8,83,60,50,1,42,26,33.8,58.5,Greece,11.1,$265.60,-3.9,-5.2,"$24,012.00",27.6,-0.9,"2,566.5",173.8
Guatemala,South and Central America / Caribbean,20,29,79.6,94.1,54.7,50.6,76.8,84.6,65,50,2.7,31,31,10.9,14.1,Guatemala,15.5,$81.80,3.5,2.8,"$5,282.00",2.8,4.3,"1,308.9",24.4
Guinea,Sub-Saharan Africa,15,24,68.1,79.5,51.6,74.4,66.7,61.2,40,40,11.9,40,35,19,26.1,Guinea,11.1,$12.50,2.5,2.4,"$1,125.00",3.1,12,24.8,37.8
Guinea-Bissau,Sub-Saharan Africa,20,19,89.1,88,39.6,61.7,77.5,65.4,30,30,9.8,20,25,8.3,20,Guinea-Bissau,1.6,$1.90,0.3,2.1,"$1,206.00",8.5,0.6,14.5,61
Guyana,South and Central America / Caribbean,25,27,68.7,70.8,63.8,74.5,78.4,72,45,30,6.5,33.3,40,20.5,31.2,Guyana,0.8,$6.60,4.8,4.5,"$8,250.00",11.2,3.5,240.3,63.9
Haiti,South and Central America / Caribbean,10,19,80.3,76.2,43.1,63.7,73.5,77.6,40,30,3.7,30,30,12.9,28.2,Haiti,10.3,$13.60,4.3,2,"$1,315.00",7.1,6.8,190,21.3
Honduras,South and Central America / Caribbean,30,26,84.9,78.7,53.2,28,75.4,77.6,60,60,6.2,25,25,16.1,26.6,Honduras,8.1,$39.20,2.6,2.3,"$4,839.00",4.2,5.2,"1,059.7",40.2
Hong Kong SAR,Asia-Pacific,90,75,93.2,89.7,100,95.9,81.8,90,90,90,0,15,16.5,13.7,18.5,Hong Kong,7.2,$381.90,2.9,2.7,"$52,722.00",3.3,4.3,"76,632.8",0.5
Hungary,Europe,55,54,78.7,25.9,74.5,67.7,79.2,88,75,70,1,16,19,38.9,49.7,Hungary,9.9,$198.20,1.1,-1,"$20,065.00",10.5,1.7,"3,091.1",79.2
Iceland,Europe,90,78,72,32.6,90.5,62.2,77,88,70,60,1,31.8,20,37.2,47.4,Iceland,0.3,$13.20,2.9,-0.8,"$41,000.00",5.6,3.9,347.1,90.2
