Country,Country Code,Region,Happiness Ranking,Happiness Score,Unemployment Rate 2015(%) ,Gross GDP 2015(USD Billion),GDP Per Capita 2015(USD in thousands) 
Lesotho,LSO,Sub-Saharan Africa,97,4.9,26.98,2.51,1.18
Dominican Republic,DOM,Latin America and Caribbean,98,4.88,5.92,68.8,6.9
Mongolia,MNG,Eastern Asia,100,4.87,4.86,11.75,3.96
Greece,GRC,Western Europe,102,4.86,24.9,195.54,18.02
Lebanon,LBN,Middle East and Northern Africa,103,4.84,6.63,49.91,11.28
Hungary,HUN,Central and Eastern Europe,104,4.8,6.81,122.88,12.46
Honduras,HND,Latin America and Caribbean,105,4.79,4.59,20.98,2.6
Tajikistan,TJK,Central and Eastern Europe,106,4.79,10.36,7.85,0.92
Tunisia,TUN,Middle East and Northern Africa,107,4.74,15.22,43.15,3.83
Bangladesh,BGD,Southern Asia,109,4.69,4.43,195.08,1.3
Ukraine,UKR,Central and Eastern Europe,111,4.68,9.14,91.03,2.14
Iraq,IRQ,Middle East and Northern Africa,112,4.68,8.09,177.5,4.81
South Africa,ZAF,Sub-Saharan Africa,113,4.64,25.16,317.54,5.8
Ghana,GHA,Sub-Saharan Africa,114,4.63,2.15,49.18,1.37
Zimbabwe,ZWE,Sub-Saharan Africa,115,4.61,5.09,19.96,1.14
Liberia,LBR,Sub-Saharan Africa,116,4.57,2.27,3.18,0.7
India,IND,Southern Asia,117,4.57,3.49,"2,102.39",1.64
Sudan,SDN,Sub-Saharan Africa,118,4.55,12.78,97.16,1.72
Haiti,HTI,Latin America and Caribbean,119,4.52,14.05,8.72,0.81
Nepal,NPL,Southern Asia,121,4.51,3.1,21.41,0.75
Ethiopia,ETH,Sub-Saharan Africa,122,4.51,4.97,64.46,0.72
Sierra Leone,SLE,Sub-Saharan Africa,123,4.51,4.7,4.22,0.6
Mauritania,MRT,Sub-Saharan Africa,124,4.44,9.85,4.84,1.3
Kenya,KEN,Sub-Saharan Africa,125,4.42,11.59,64.01,1.45
Djibouti,DJI,Sub-Saharan Africa,126,4.37,5.86,1.63,1.79
Armenia,ARM,Central and Eastern Europe,127,4.35,18.26,10.55,3.53
Botswana,BWA,Sub-Saharan Africa,128,4.33,17.01,14.41,6.54
