,Country,Country Code,Region,Happiness Ranking,Happiness Score,Gross GDP 2015,Unemployment Rate 2015(%) ,GDP Per Capita 2015(USD),Gross GDP 2015(USD Billion),GDP Per Capita 2015(USD in thousands) 
66,Cyprus,CYP,Western Europe,67,5.69,19680625485.1946,14.92,23243.22,19.68,23.24
67,Algeria,DZA,Middle East and Northern Africa,68,5.61,165979277276.90698,11.20,4153.33,165.98,4.15
69,Turkmenistan,TKM,Central and Eastern Europe,70,5.55,35799714285.7143,3.58,6432.67,35.80,6.43
70,Mauritius,MUS,Sub-Saharan Africa,71,5.48,11692287066.381,7.92,9258.56,11.69,9.26
72,Estonia,EST,Central and Eastern Europe,73,5.43,22566956982.229,6.19,17164.51,22.57,17.16
73,Indonesia,IDN,Southeastern Asia,74,5.40,860854235065.0791,4.51,3369.36,860.85,3.37
75,Turkey,TUR,Middle East and Northern Africa,76,5.33,859796691176.471,10.24,10914.89,859.80,10.91
77,Nigeria,NGA,Sub-Saharan Africa,78,5.27,494583180777.234,4.31,2763.2,494.58,2.76
78,Bhutan,BTN,Southern Asia,79,5.25,2059809919.89325,2.45,2604.19,2.06,2.60
79,Azerbaijan,AZE,Central and Eastern Europe,80,5.21,53074370486.0433,4.96,5300.14,53.07,5.30
80,Pakistan,PAK,Southern Asia,81,5.19,270556126820.064,3.57,1424.95,270.56,1.42
81,Jordan,JOR,Middle East and Northern Africa,82,5.19,37517410281.6901,13.07,4101.89,37.52,4.10
82,Montenegro,MNE,Central and Eastern Europe,82,5.19,4052913385.8267703,17.52,6517.42,4.05,6.52
83,China,CHN,Eastern Asia,84,5.14,11064666282625.5,4.61,8166.76,"11,064.67",8.17
84,Zambia,ZMB,Sub-Saharan Africa,85,5.13,21154394545.895,7.75,1310.35,21.15,1.31
85,Romania,ROU,Central and Eastern Europe,86,5.12,177893451831.14102,6.81,8950.46,177.89,8.95
86,Serbia,SRB,Central and Eastern Europe,87,5.12,37160332465.1645,17.92,5237.25,37.16,5.24
87,Portugal,PRT,Western Europe,88,5.10,199420256049.689,12.44,19262.27,199.42,19.26
88,Latvia,LVA,Central and Eastern Europe,89,5.10,26972863393.6384,9.87,13587.68,26.97,13.59
89,Philippines,PHL,Southeastern Asia,90,5.07,292774099013.687,3.04,2882.77,292.77,2.88
91,Morocco,MAR,Middle East and Northern Africa,92,5.01,101179808076.36,9.66,2964.96,101.18,2.96
93,Mozambique,MOZ,Sub-Saharan Africa,94,4.97,14798413628.4625,25.30,528.93,14.80,0.53
94,Albania,ALB,Central and Eastern Europe,95,4.96,11386931489.7968,17.08,3953.61,11.39,3.95
95,Bosnia and Herzegovina,BIH,Central and Eastern Europe,96,4.95,16209702863.6235,27.69,4584.26,16.21,4.58
96,Lesotho,LSO,Sub-Saharan Africa,97,4.90,2510312804.7673697,26.98,1179.12,2.51,1.18
97,Dominican Republic,DOM,Latin America and Caribbean,98,4.88,68802092020.9448,5.92,6903.42,68.80,6.90
99,Mongolia,MNG,Eastern Asia,100,4.87,11749620619.5962,4.86,3956.88,11.75,3.96
101,Greece,GRC,Western Europe,102,4.86,195541761243.14398,24.90,18018.04,195.54,18.02
102,Lebanon,LBN,Middle East and Northern Africa,103,4.84,49910270062.1559,6.63,11279.44,49.91,11.28
103,Hungary,HUN,Central and Eastern Europe,104,4.80,122879042001.915,6.81,12461.75,122.88,12.46
104,Honduras,HND,Latin America and Caribbean,105,4.79,20979767785.2104,4.59,2598.1,20.98,2.60
105,Tajikistan,TJK,Central and Eastern Europe,106,4.79,7854602391.65355,10.36,919.07,7.85,0.92
106,Tunisia,TUN,Middle East and Northern Africa,107,4.74,43152528548.124,15.22,3827.64,43.15,3.83
108,Bangladesh,BGD,Southern Asia,109,4.69,195078678697.23,4.43,1303.18,195.08,1.30
110,Ukraine,UKR,Central and Eastern Europe,111,4.68,91030959454.6961,9.14,2135.18,91.03,2.14
111,Iraq,IRQ,Middle East and Northern Africa,112,4.68,177498577312.923,8.09,4811.92,177.50,4.81
112,South Africa,ZAF,Sub-Saharan Africa,113,4.64,317536830640.61896,25.16,5802.71,317.54,5.80
113,Ghana,GHA,Sub-Saharan Africa,114,4.63,49181854798.2552,2.15,1372.17,49.18,1.37
114,Zimbabwe,ZWE,Sub-Saharan Africa,115,4.61,19963120600.0,5.09,1137.07,19.96,1.14
115,Liberia,LBR,Sub-Saharan Africa,116,4.57,3177000000.0,2.27,703.18,3.18,0.70
116,India,IND,Southern Asia,117,4.57,2102390808996.69,3.49,1638.76,"2,102.39",1.64
117,Sudan,SDN,Sub-Saharan Africa,118,4.55,97156119150.0,12.78,1715.07,97.16,1.72
118,Haiti,HTI,Latin America and Caribbean,119,4.52,8724656126.498491,14.05,809.67,8.72,0.81
120,Nepal,NPL,Southern Asia,121,4.51,21410840908.5198,3.10,747.16,21.41,0.75
121,Ethiopia,ETH,Sub-Saharan Africa,122,4.51,64464547915.2698,4.97,720.62,64.46,0.72
122,Sierra Leone,SLE,Sub-Saharan Africa,123,4.51,4218723875.1379,4.70,599.54,4.22,0.60
123,Mauritania,MRT,Sub-Saharan Africa,124,4.44,4844223106.95469,9.85,1303.87,4.84,1.30
124,Kenya,KEN,Sub-Saharan Africa,125,4.42,64007751187.8874,11.59,1453.3,64.01,1.45
125,Djibouti,DJI,Sub-Saharan Africa,126,4.37,1633741922.6873698,5.86,1788.36,1.63,1.79
126,Armenia,ARM,Central and Eastern Europe,127,4.35,10553337672.9872,18.26,3529.03,10.55,3.53
127,Botswana,BWA,Sub-Saharan Africa,128,4.33,14406496463.6055,17.01,6538.59,14.41,6.54
128,Myanmar,MMR,Southeastern Asia,129,4.31,59687410896.5734,0.77,1147.34,59.69,1.15
129,Georgia,GEO,Central and Eastern Europe,130,4.30,13993546747.7492,11.96,3761.91,13.99,3.76
130,Malawi,MWI,Sub-Saharan Africa,131,4.29,6373212640.84604,5.88,353.5,6.37,0.35
131,Sri Lanka,LKA,Southern Asia,132,4.27,80604080688.7961,4.67,3835.36,80.60,3.84
132,Cameroon,CMR,Sub-Saharan Africa,133,4.25,30916218544.4404,4.30,1338.6,30.92,1.34
133,Bulgaria,BGR,Central and Eastern Europe,134,4.22,50201314894.5817,9.14,7017.11,50.20,7.02
134,Egypt,EGY,Middle East and Northern Africa,135,4.19,332698041030.807,13.05,3731.18,332.70,3.73
135,Yemen,YEM,Middle East and Northern Africa,136,4.08,45593573381.2648,13.81,1612.01,45.59,1.61
136,Angola,AGO,Sub-Saharan Africa,137,4.03,116193649124.475,7.28,4354.92,116.19,4.35
137,Mali,MLI,Sub-Saharan Africa,138,4.00,13099495529.7113,7.73,740.32,13.10,0.74
139,Comoros,COM,Sub-Saharan Africa,140,3.96,988150249.5336881,4.34,750.58,0.99,0.75
140,Uganda,UGA,Sub-Saharan Africa,141,3.93,27102650386.6012,1.90,662.16,27.10,0.66
141,Senegal,SEN,Sub-Saharan Africa,142,3.90,17767620058.8554,4.85,1186.93,17.77,1.19
142,Gabon,GAB,Sub-Saharan Africa,143,3.90,14377324797.637,20.00,7453.11,14.38,7.45
143,Niger,NER,Sub-Saharan Africa,144,3.85,7217667780.59665,0.34,409.22,7.22,0.41
144,Cambodia,KHM,Southeastern Asia,145,3.82,18049954289.4229,0.18,1163.41,18.05,1.16
146,Madagascar,MDG,Sub-Saharan Africa,147,3.68,9744243531.20119,1.80,402.07,9.74,0.40
147,Central African Republic,CAF,Sub-Saharan Africa,148,3.68,1583776805.9656801,6.39,330.56,1.58,0.33
148,Chad,TCD,Sub-Saharan Africa,149,3.67,10945989471.6286,5.66,946.4,10.95,0.95
149,Guinea,GIN,Sub-Saharan Africa,150,3.66,8794202409.5678,4.53,712.05,8.79,0.71
151,Burkina Faso,BFA,Sub-Saharan Africa,152,3.59,10419303761.3524,6.49,575.62,10.42,0.58
152,Afghanistan,AFG,Southern Asia,153,3.58,19907111418.9938,8.86,594.51,19.91,0.59
153,Rwanda,RWA,Sub-Saharan Africa,154,3.46,8277613193.576309,1.16,735.62,8.28,0.74
154,Benin,BEN,Sub-Saharan Africa,155,3.34,8291155880.59505,2.63,786.17,8.29,0.79
156,Burundi,BDI,Sub-Saharan Africa,157,2.90,3104394858.11518,1.57,294.5,3.10,0.29
157,Togo,TGO,Sub-Saharan Africa,158,2.84,4179185205.1612206,1.84,563.76,4.18,0.56
